year,projection,value
2001,5yr,160922740.0
2002,5yr,161730679.0
2003,5yr,162537747.0
2004,5yr,163460914.0
2005,5yr,164770667.0
2006,5yr,165906364.0
2007,5yr,167266468.0
2008,5yr,168649203.0
2009,5yr,169817818.0
2010,5yr,171157661.0
2011,5yr,172562761.0
2012,5yr,173776633.0
2013,5yr,175019009.0
2014,5yr,176384262.0
2015,5yr,177727786.0
2016,5yr,179224832.0
2017,5yr,180242876.0
2018,5yr,181204349.0
2019,5yr,182185061.0
2020,5yr,182525809.0
2021,5yr,183260648.0
2022,5yr,184966937.0
2023,5yr,186905113.67399657
2024,5yr,187718819.67999804
2025,5yr,188524389.7450024
2026,5yr,189316261.82899985
2027,5yr,190090784.6169997
2028,5yr,190845846.2269999
2029,5yr,191580970.15699837
2030,5yr,192296930.2809997
2031,5yr,192995773.7089965
2032,5yr,193674468.75600144
2033,5yr,194331419.9340016
2034,5yr,194968305.7960021
2035,5yr,195590385.95899907
2036,5yr,196200876.80100152
2037,5yr,196791558.27500108
2038,5yr,197376007.16199943
2039,5yr,197960843.07100084
2040,5yr,198547121.31599855
2041,5yr,199133084.23699927
2042,5yr,199715896.74300012
2043,5yr,200289577.9529996
2044,5yr,200849820.6269984
2045,5yr,201393417.23599797
2046,5yr,201914956.45799932
2047,5yr,202410636.43700084
2048,5yr,202877623.4969972
2049,5yr,203315390.7320008
2050,5yr,203723945.77400184
2001,10yr,160922740.0
2002,10yr,161730679.0
2003,10yr,162537747.0
2004,10yr,163460914.0
2005,10yr,164770667.0
2006,10yr,165906364.0
2007,10yr,167266468.0
2008,10yr,168649203.0
2009,10yr,169817818.0
2010,10yr,171157661.0
2011,10yr,172562761.0
2012,10yr,173776633.0
2013,10yr,175019009.0
2014,10yr,176384262.0
2015,10yr,177727786.0
2016,10yr,179224832.0
2017,10yr,180242876.0
2018,10yr,181204349.0
2019,10yr,182185061.0
2020,10yr,182525809.0
2021,10yr,183260648.0
2022,10yr,184966937.0
2023,10yr,186909148.1120008
2024,10yr,187725674.85500044
2025,10yr,188535403.36000097
2026,10yr,189332886.82600036
2027,10yr,190114485.77900115
2028,10yr,190878090.62000063
2029,10yr,191623265.69500092
2030,10yr,192350827.3929985
2031,10yr,193062735.8730012
2032,10yr,193755869.1339988
2033,10yr,194428499.0190013
2034,10yr,195082054.8919979
2035,10yr,195721467.50100115
2036,10yr,196349616.52600145
2037,10yr,196957927.98100123
2038,10yr,197559632.9389974
2039,10yr,198161032.369002
2040,10yr,198762971.12699947
2041,10yr,199363558.25899848
2042,10yr,199959863.2130026
2043,10yr,200545860.05700108
2044,10yr,201117248.39800164
2045,10yr,201670847.4920008
2046,10yr,202201274.07699928
2047,10yr,202704772.10399783
2048,10yr,203178549.382999
2049,10yr,203622132.21000105
2050,10yr,204035581.26999915
2001,15yr,160922740.0
2002,15yr,161730679.0
2003,15yr,162537747.0
2004,15yr,163460914.0
2005,15yr,164770667.0
2006,15yr,165906364.0
2007,15yr,167266468.0
2008,15yr,168649203.0
2009,15yr,169817818.0
2010,15yr,171157661.0
2011,15yr,172562761.0
2012,15yr,173776633.0
2013,15yr,175019009.0
2014,15yr,176384262.0
2015,15yr,177727786.0
2016,15yr,179224832.0
2017,15yr,180242876.0
2018,15yr,181204349.0
2019,15yr,182185061.0
2020,15yr,182525809.0
2021,15yr,183260648.0
2022,15yr,184966937.0
2023,15yr,186909148.1120008
2024,15yr,187725674.85500044
2025,15yr,188535403.36000097
2026,15yr,189332886.82600036
2027,15yr,190114485.77900115
2028,15yr,190878090.62000063
2029,15yr,191623265.69500092
2030,15yr,192350827.3929985
2031,15yr,193062735.8730012
2032,15yr,193755869.1339988
2033,15yr,194428499.0190013
2034,15yr,195082054.8919979
2035,15yr,195721467.50100115
2036,15yr,196349616.52600145
2037,15yr,196957927.98100123
2038,15yr,197559632.9389974
2039,15yr,198161032.369002
2040,15yr,198762971.12699947
2041,15yr,199363558.25899848
2042,15yr,199959863.2130026
2043,15yr,200545860.05700108
2044,15yr,201117248.39800164
2045,15yr,201670847.4920008
2046,15yr,202201274.07699928
2047,15yr,202704772.10399783
2048,15yr,203178549.382999
2049,15yr,203622132.21000105
2050,15yr,204035581.26999915
